08-21 08:30 | 南美杯 | Botafogo vs Cienciano | λ1.86/0.68 | OU:小2.50 53% EV+84% | HC:让球客(+2.2) 65% EV+38% | 1X2:1X2客胜 16% EV+156% | 无★0[否决] | 纯数据无伤病情报;伤停>2人(主4/客0);盘口为隔日快照(2026-08-20)->否决
08-22 02:00 | Ligue 2 | US Boulogne Côte-d'Opale vs Red Star FC | λ0.98/1.61 | OU:大2.50 48% EV-3% | HC:让球客(+0.5) 65% EV-14% | 1X2:1X2客胜 48% EV+2% | 无★0[垃圾] | 纯数据无伤病情报;联赛基准偏差(λ已平移);小球校准折扣;队名模糊匹配;平局预警-强(市场去水平局>=30%)
08-22 02:00 | Ligue 2 | Sochaux vs Guingamp | λ1.62/1.04 | OU:大2.50 50% EV-0% | HC:让球主(+0.5) 65% EV+0% | 1X2:1X2主胜 47% EV+39% | 无★0[垃圾] | 纯数据无伤病情报;联赛基准偏差(λ已平移);小球校准折扣;平局预警-强(市场去水平局>=30%)
08-22 02:00 | Ligue 2 | Pau FC vs Nancy | λ0.96/1.63 | OU:小2.50 52% EV-8% | HC:- | 1X2:1X2客胜 49% EV+38% | 无★0[垃圾] | 纯数据无伤病情报;缺亚盘;联赛基准偏差(λ已平移);小球校准折扣;队名模糊匹配;平局预警(市场去水平局>=26%)
08-22 02:00 | Ligue 2 | Clermont Foot vs Dijon | λ1.19/0.95 | OU:小2.50 64% EV+2% | HC:让球客(+0.2) 59% EV-3% | 1X2:1X2平局 31% EV-5% | 无★0[垃圾] | 纯数据无伤病情报;联赛基准偏差(λ已平移);小球校准折扣;队名模糊匹配;平局预警(市场去水平局>=26%)
08-22 02:00 | 沙超 | Al-Qadsiah vs Al-Ittihad | λ2.94/1.37 | OU:大2.50 65% EV-15% | HC:让球主(+0.2) 65% EV-12% | 1X2:1X2主胜 65% EV+4% | 无★0[垃圾] | 纯数据无伤病情报;伤停>2人(主1/客3);λ过高(4.31)
08-22 02:00 | 沙超 | Al Faisaly vs Neom SC | λ1.20/0.83 | OU:大2.50 33% EV-53% | HC:- | 1X2:1X2主胜 44% EV+61% | 无★0[垃圾] | 纯数据无伤病情报;缺亚盘
08-22 02:15 | Parva Liga | Cherno More Varna vs FK Dunav Ruse | λ1.26/1.29 | OU:大2.50 47% EV-14% | HC:让球客(+0.8) 64% EV+27% | 1X2:1X2客胜 37% EV+79% | 无★0[否决] | 纯数据无伤病情报;盘口过期(距开赛25h>阈值12h)->否决
08-22 02:30 | Trendyol Super Lig | Erzurumspor FK vs Galatasaray | λ1.29/1.50 | OU:小2.50 47% EV-8% | HC:让球主(+1.5) 65% EV+10% | 1X2:1X2主胜 33% EV+127% | 无★0[否决] | 纯数据无伤病情报;联赛基准偏差(λ已平移);小球校准折扣;盘口过期(距开赛25h>阈值12h)->否决
08-22 02:30 | Ekstraklasa | KS Cracovia vs Wieczysta Kraków | λ1.32/1.11 | OU:小2.50 56% EV+4% | HC:让球客(+0.5) 59% EV+3% | 1X2:1X2客胜 31% EV-1% | 无★0[垃圾] | 纯数据无伤病情报;伤停>2人(主3/客1);平局预警(市场去水平局>=26%)
08-22 02:45 | DFB Pokal | FC Hansa Rostock vs VfB Stuttgart | λ1.80/1.84 | OU:大2.50 65% EV-15% | HC:让球主(+2.0) 65% EV+13% | 1X2:1X2主胜 37% EV+294% | 无★0[否决] | 纯数据无伤病情报;伤停>2人(主0/客4);队名模糊匹配;盘口过期(距开赛25h>阈值12h)->否决
08-22 02:45 | Pro League | Standard Liège vs RAAL La Louvière | λ1.05/0.67 | OU:小2.50 65% EV+14% | HC:让球客(+0.5) 57% EV+9% | 1X2:1X2平局 34% EV+19% | 无★0[否决] | 纯数据无伤病情报;队名模糊匹配;平局预警(市场去水平局>=26%);盘口过期(距开赛25h>阈值12h)->否决
08-22 02:45 | Ligue 1 | Olympique de Marseille vs RC Strasbourg | λ2.50/1.01 | OU:大2.50 65% EV-8% | HC:让球主(-1.8) 48% EV+84% | 1X2:1X2主胜 63% EV+1% | 无★0[否决] | 纯数据无伤病情报;队名模糊匹配;盘口过期(距开赛25h>阈值12h)->否决
08-22 03:00 | Segunda División | Córdoba vs Girona FC | λ1.73/1.02 | OU:大2.50 52% EV-12% | HC:- | 1X2:1X2主胜 49% EV+39% | 无★0[垃圾] | 纯数据无伤病情报;缺亚盘;平局预警(市场去水平局>=26%)
08-22 03:00 | 西甲 | Real Betis vs Real Sociedad | λ1.67/0.75 | OU:小2.50 56% EV-5% | HC:- | 1X2:1X2主胜 54% EV+6% | 无★0[垃圾] | 纯数据无伤病情报;伤停>2人(主3/客1);缺亚盘;队名模糊匹配;平局预警(市场去水平局>=26%)
08-22 03:00 | Premier League | Arsenal vs Coventry City | λ1.53/0.77 | OU:小2.50 60% EV+53% | HC:让球客(+1.8) 65% EV+42% | 1X2:1X2客胜 21% EV+305% | 无★0[否决] | 纯数据无伤病情报;伤停>2人(主4/客1);盘口过期(距开赛26h>阈值12h)->否决
08-22 03:15 | Liga Portugal 2 | Tondela vs Académica Coimbra | λ1.11/1.50 | OU:大2.50 48% EV-8% | HC:让球客(+0.5) 65% EV+15% | 1X2:1X2客胜 46% EV+67% | 无★0[否决] | 纯数据无伤病情报;平局预警(市场去水平局>=26%);盘口过期(距开赛26h>阈值12h)->否决
08-22 05:05 | 哥甲 | Jaguares de Córdoba vs Boyacá Chicó FC | λ3.11/0.44 | OU:大2.50 65% EV+36% | HC:让球主(-2.2) 50% EV+236% | 1X2:1X2主胜 65% EV+9% | 无★0[否决] | 纯数据无伤病情报;队名模糊匹配;平局预警(市场去水平局>=26%);盘口过期(距开赛28h>阈值12h)->否决
08-22 07:00 | 阿甲 | Estudiantes de Río Cuarto vs San Lorenzo | λ0.29/0.39 | OU:小2.50 65% EV-19% | HC:- | 1X2:1X2平局 52% EV+34% | 无★0[垃圾] | 纯数据无伤病情报;伤停>2人(主0/客6);缺亚盘;平局预警-强(市场去水平局>=30%)
